2-State Environment Evolution Results
====================================

Grid Configuration:
- Width: 10
- Height: 50
- Total cells: 500

Event Count Progression:
Step | Events
-----|-------
0    | 1
1    | 2
2    | 3
3    | 5
4    | 5
5    | 7
6    | 7
7    | 8
8    | 9
9    | 9
10    | 9
11    | 10
12    | 10
13    | 11
14    | 10
15    | 9
16    | 11
17    | 11
18    | 11
19    | 11
20    | 12
21    | 13
22    | 14
23    | 14
24    | 15
25    | 18
26    | 19
27    | 22
28    | 25
29    | 26
30    | 25
31    | 26
32    | 28
33    | 29
34    | 32
35    | 33
36    | 35
37    | 35
38    | 37
39    | 37
40    | 37
41    | 37
42    | 42
43    | 41
44    | 38
45    | 39
46    | 39
47    | 43
48    | 50
49    | 52
50    | 53
51    | 52
52    | 51
53    | 51
54    | 52
55    | 55
56    | 54
57    | 56
58    | 54
59    | 53
60    | 54
61    | 57
62    | 56
63    | 56
64    | 58
65    | 59
66    | 55
67    | 57
68    | 59
69    | 57
70    | 57
71    | 56
72    | 60
73    | 60
74    | 62
75    | 66
76    | 63
77    | 67
78    | 69
79    | 69
80    | 75
81    | 79
82    | 84
83    | 86
84    | 89
85    | 88
86    | 91
87    | 93
88    | 99
89    | 99
90    | 97
91    | 106
92    | 109
93    | 112
94    | 114
95    | 112
96    | 111
97    | 117
98    | 116
99    | 121
100    | 117
101    | 116
102    | 115
103    | 117
104    | 112
105    | 111
106    | 111
107    | 109
108    | 113
109    | 110
110    | 107
111    | 105
112    | 110
113    | 111
114    | 111
115    | 116
116    | 112
117    | 111
118    | 118
119    | 119
120    | 117
121    | 116
122    | 118
123    | 119
124    | 121
125    | 116
126    | 119
127    | 116
128    | 120
129    | 123
130    | 122
131    | 122
132    | 127
133    | 132
134    | 126
135    | 125
136    | 123
137    | 129
138    | 128
139    | 129
140    | 123
141    | 123
142    | 119
143    | 120
144    | 120
145    | 124
146    | 120
147    | 115
148    | 110
149    | 115
150    | 117
151    | 120
152    | 131
153    | 132
154    | 131
155    | 138
156    | 142
157    | 147
158    | 147
159    | 147
160    | 142
161    | 144
162    | 139
163    | 144
164    | 151
165    | 154
166    | 159
167    | 162
168    | 156
169    | 157
170    | 165
171    | 170
172    | 167
173    | 165
174    | 169
175    | 173
176    | 168
177    | 166
178    | 163
179    | 161
180    | 164
181    | 163
182    | 159
183    | 156
184    | 151
185    | 150
186    | 150
187    | 154
188    | 154
189    | 159
190    | 163
191    | 157
192    | 158
193    | 159
194    | 153
195    | 153
196    | 154
197    | 150
198    | 149
199    | 149
200    | 144
201    | 151
202    | 157
203    | 160
204    | 156
205    | 158
206    | 162
207    | 169
208    | 166
209    | 161
210    | 161
211    | 162
212    | 153
213    | 153
214    | 153
215    | 151
216    | 149
217    | 157
218    | 160
219    | 157
220    | 152
221    | 161
222    | 169
223    | 166
224    | 155
225    | 148
226    | 149
227    | 147
